id;name;latitude;longitude
300;Dlouhé Stráně, Kouty nad Desnou;50.0775;17.1617
301;Dubicko;49.8247;16.9656
302;Hanušovice, Horní Hanušovice;50.0917;16.9472
303;Luká, Ješov;49.6698;16.9556
304;Jevíčko;49.63;16.7197
305;Kozlov;49.6017;17.5327
306;Lanškroun;49.9153;16.6067
307;Leština;49.8681;16.9278
308;Velké Losiny;50.0356;17.0439
309;Luká;49.6522;16.9533
310;Moravský Beroun;49.7944;17.4444
311;Medlov, Hlivice;49.7824;17.038
312;Mohelnice;49.7778;16.9111
313;Olomouc, Klášterní Hradisko;49.6089;17.2642
314;Olomouc, Neředín;49.5944;17.2167
315;Olomouc, Slavonín;49.5758;17.2367
316;Oskava, Bedřichov;49.9269;17.1561
317;Staré Město pod Sněžníkem, Paprsek;50.2094;16.9939
318;Paseka;49.8078;17.2311
319;Malá Morava, Sklené;50.1214;16.8428
320;Dolní Morava, Slaměnka;50.151;16.8328
321;Dolní Studénky, Třemešek;49.9454;17
322;Šternberk;49.725;17.2972
323;Štíty;49.9566;16.7643
324;Staré Město pod Sněžníkem, Kunčice;50.1933;16.9433
325;Staré Město;49.7947;16.6792
326;Šumperk, Temenice;49.9728;16.9664
327;Tovačov;49.4278;17.2889
328;Třebařov;49.8158;16.6969
329;Tršice;49.5383;17.4246
330;Uničov;49.7764;17.1172
331;Zábřeh;49.8833;16.8833
332;Zadní Arnoštov;49.6583;16.6667
333;Horní Bečva;49.4231;18.3158
334;Velké Karlovice, Benešky;49.397;18.2944
335;Bystřička;49.4242;18.0208
336;Halenkov;49.3211;18.145
337;Hošťálková;49.3569;17.8708
338;Hranice;49.5458;17.7417
339;Huslenky, Kychová;49.2792;18.1639
340;Kateřinice, Ojičná;49.4008;17.8733
341;Kunovice;49.4444;17.8111
342;Lipník nad Bečvou;49.5253;17.5742
343;Hošťálková, Maruška;49.3653;17.8286
344;Pavlovice u Přerova;49.4722;17.5583
345;Potštát, Boškov;49.6238;17.6142
346;Přerov;49.4639;17.4572
347;Rajnochovice;49.4039;17.8167
348;Rožnov pod Radhoštěm;49.4611;18.1361
349;Střítěž nad Ludinou;49.6069;17.7403
350;Valašská Bystřice;49.4153;18.1122
351;Valašské Meziříčí;49.4636;17.9742
352;Valašská Senice;49.2397;18.1267
353;Velké Karlovice, Miloňov;49.3667;18.31
354;Veselíčko;49.5333;17.5167
355;Vsetín;49.3444;17.9961
356;Zubří;49.4644;18.0839
357;Bělá pod Pradědem, Adolfovice, vodárna;50.1906;17.2267
358;Bílá, lesnické učiliště;49.4432;18.4559
359;Bumbálka;49.3981;18.4131
360;Bystřička, přehrada;49.4215;18.0202
361;Čeladná, BRC;49.5373;18.3052
362;Čeladná, Podolánky;49.4733;18.3598
363;Červenohorské sedlo;50.125;17.1542
364;Ružďka, Dušná, Putýrka;49.3786;18.0378
365;Hrčava;49.5211;18.8342
366;Hladké Životice;49.6903;17.9514
367;Karlova Studánka;50.0731;17.3058
368;Králický Sněžník;50.2053;16.8503
369;Horní Bečva, Kudlačena;49.4319;18.3256
370;Maruška;49.3661;17.8294
371;Morávka, Lúčka;49.5326;18.5498
372;Mořkov;49.5414;18.0583
373;Mosty u Jablunkova, chata Skalka;49.5169;18.7159
374;Nýdek, Hluchová-Kolibiska;49.6158;18.8089
375;Ostrava, Bělský les;49.7876;18.2444
376;Ostrava, Dolní oblast Vítkovic;49.8199;18.2828
377;Ostrava, Hošťálkovice;49.8674;18.2116
378;Ostrava, Hrabová;49.7712;18.2836
379;Olšany u Šumperka;49.9639;16.8625
380;Ostrava, Mariánské Hory;49.8335;18.2578
381;Ostrava, Martinov;49.8558;18.1772
382;Ostrava, Moravská Ostrava;49.8485;18.2906
383;Ostrava, Nová Ves;49.8245;18.2366
384;Ostrava, Petřkovice;49.8696;18.2574
385;Ostrava, Polanka nad Odrou;49.7789;18.1716
386;Ostrava, Radvanice;49.8189;18.3262
387;Ostravice;49.526;18.4006
388;Ostrava, Třebovice;49.8323;18.1936
389;Ostrava, Vítkovice, Penzion;49.8109;18.2474
390;Ostrava, Vítkovice, TEMEX;49.8109;18.272
391;Ostrava, Výškovice;49.7732;18.2237
392;Ostrava, Zábřeh;49.7972;18.2694
393;Palkovice, Hůrky;49.6376;18.2741
394;Paseka;49.7967;17.2308
395;Ostrava, Poruba;49.8253;18.1594
396;Prašivá;49.6367;18.4846
397;Rejvíz;50.2295;17.2983
398;Ropička, totalizátor;49.6185;18.559
399;Rýmařov, město;49.9314;17.2958
400;Šenov, Lapačka;49.7706;18.3803
401;Staré Hamry, Červík;49.4544;18.3983
402;Soláň, HS Beskydy;49.3908;18.2488
403;Trojanovice, Pindula;49.5012;18.187
404;Valašská Bystřice, Búřov;49.4093;18.0997
405;Valašská Senice;49.2397;18.1267
406;Vítkov;49.7773;17.7572
407;Vsetín, MŠ Kobzáňova;49.3395;17.9964
408;Zděchov, totalizátor;49.2467;18.0722
409;Beroun;49.9558;14.0714
410;Dobřichovice;49.9333;14.2758
411;Jíloviště;49.9233;14.3319
412;Kamýk nad Vltavou;49.6492;14.2481
413;Kladno,  Kročehlavy;50.1333;14.1083
414;Kralupy nad Vltavou;50.2422;14.2908
415;Lány;50.1244;13.9528
416;Hostomice;49.8264;14.0433
417;Praha, Karlov;50.0675;14.4186
418;Praha, Kbely;50.1233;14.5381
419;Praha, Klementinum;50.0867;14.4164
420;Praha, Komořany;49.9883;14.4072
421;Praha, Libuš;50.0083;14.4481
422;Příbram;49.7083;13.9833
423;Praha, Ruzyně;50.0942;14.2817
424;Praha, Střešovice;50.0904;14.3855
425;Praha, Uhříněves;50.0322;14.6036
426;Praha, Vinohrady;50.0667;14.4667
427;Benecko;50.6638;15.5582
428;Brandýs nad Labem-St.B;50.1897;14.6606
429;Český Brod, Liblice;50.076;14.8661
430;Český Dub;50.6639;14.9989
431;Dolní Bousov;50.4378;15.1417
432;Desná, Souš;50.7897;15.3192
433;Dvoračky;50.7482;15.5145
434;Harrachov;50.7749;15.4275
435;Holenice;50.5333;15.3
436;Katusice;50.4458;14.7797
437;Kořenov, Jizerka;50.8175;15.3494
438;Lysá nad Labem;50.2;14.85
439;Vítkovice, Horní Mísečky;50.7356;15.5711
440;Mrzky;50.0447;14.8073
441;Semčice;50.3672;15.0044
442;Smržovka;50.7392;15.2483
443;Tišice;50.2775;14.5483
444;Karlovice;50.563;15.2127
445;Vysoké nad Jizerou;50.6878;15.4033
446;Benešov;49.7849;14.6917
447;Čechtice;49.6203;15.0512
448;Havlíčkův Brod;49.6119;15.5797
449;Hulice;49.7219;15.0958
450;Košetice;49.5579;15.1087
451;Kožlí;49.6797;15.2447
452;Křešín, Kramolín;49.57;15.0637
453;Jílové u Prahy;49.9003;14.4792
454;Nedrahovice, Rudolec;49.6319;14.4422
455;Sázava;49.3917;15.3333
456;Ondřejov;49.9108;14.7811
457;Přibyslav, Hřiště;49.5903;15.7625
458;Sedlčany;49.6558;14.4208
459;Uhlířské Janovice;49.8828;15.0669
460;Vlašim;49.6919;14.8947
461;Blšany;50.2142;13.4703
462;Bořislav;50.5758;13.9294
463;Chomutov;50.4472;13.4058
464;Cínovec;50.7319;13.7664
465;Doksany;50.4583;14.1703
466;Dubí;50.6875;13.7881
467;Havraň;50.4506;13.6031
468;Hněvice;50.442;14.3504
469;Hora Svatého Šebestiána;50.5117;13.2525
470;Hříškov;50.2714;13.8619
471;Jirkov, Pesvice;50.4689;13.468
472;Kadaň;50.3833;13.2667
473;Kalek;50.5856;13.3561
474;Tušimice;50.3767;13.3281
475;Lenešice;50.3733;13.7653
476;Litvínov;50.6007;13.6111
477;Louny;50.35;13.8167
478;Měděnec;50.4235;13.1181
479;Most, Evěnice;50.528;13.571
480;Mšené-lázně;50.3622;14.1239
481;Nová Ves v Horách;50.5928;13.4831
482;Podbořany;50.2278;13.405
483;Roudnice nad Labem;50.4339;14.2564
484;Smolnice;50.31;13.8497
485;Sněžník;50.7922;14.085
486;Strojetice;50.1738;13.4769
487;Teplice;50.6383;13.8283
488;Jirkov, Újezd;50.5;13.4667
489;Ústí nad Labem, Kočkov;50.6839;14.0411
490;Ústí nad Labem;50.6642;14.0264
491;Výsluní;50.4692;13.2353
492;Žatec;50.333;13.547
493;Žatec, Velemyšleves;50.3789;13.5775
494;Višňová, Andělka;51.0025;14.9903
495;Bedřichov;50.815;15.1372
496;Děčín, Boletice nad Labem;50.7436;14.1933
497;Česká Lípa;50.6911;14.5425
498;Děčín;50.7828;14.2336
499;Doksy;50.5608;14.6578
500;Frýdlant;50.9256;15.0886
501;Hejnice;50.8846;15.1832
502;Hradčany;50.6183;14.7194
503;Jablonec nad Nisou;50.7214;15.1764
504;Jablonné v Podještědí;50.7706;14.7706
505;Ještěd;50.7328;14.9864
506;Liberec;50.7692;15.025
507;Mělník;50.3333;14.4833
508;Nové Město pod Smrkem;50.9247;15.2561
509;Pertoltice;50.9806;15.0903
510;Bílý Potok, Smědava;50.8445;15.2732
511;Stráž pod Ralskem;50.7033;14.8083
512;Varnsdorf;50.9139;14.6225
